,DATE,OUTFLOW,INFLOW,CATEGORY,ACCOUNT,MEMO,STATUS,UUID
,29/01/2021,"€1,04","€1 133,98",Available to budget,💰 Checking,Manutenção Conta + Devolução WH-1000xm3 + Vencimento,✅,
,30/01/2021,"€0,00","€40,00",Available to budget,💰 Checking,40 paus mãe,✅,
,31/01/2021,"€1 600,00","€0,00",Available to budget,💰 Checking,Poupanças Revo,✅,
,31/01/2021,"€0,00","€1 600,00",Available to budget,💳 Revolut,Poupanças BCP -> Revo,✅,
,01/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,02/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,03/02/2021,"€17,00","€0,00",G,💰 Checking,W,✅,
,04/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,05/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,06/02/2021,"€1,49","€0,00",Girlfriend,💰 Checking,Kinder Manuela,✅,
,07/02/2021,"€10,00","€0,00",Fun Money,💰 Checking,Bet,✅,
,08/02/2021,"€1 405,00","€0,00",Crypto,💰 Checking,Ethereum,✅,
,09/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,10/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,11/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,12/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,13/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,14/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,15/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,16/02/2021,"€10,00","€0,00",Fun Money,💰 Checking,Levantamento,✅,
,17/02/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Tarifário Yorn,✅,
,18/02/2021,"€0,00","€15,00",Available to budget,💰 Checking,Olx - Tinteiros,✅,
,19/02/2021,"€250,00","€0,00",Available to budget,💰 Checking,Revo,✅,
,19/02/2021,"€0,00","€250,00",Available to budget,💳 Revolut,Transf BCP -> Revo,✅,
,20/02/2021,"€0,00","€1,15",Fun Money,💰 Checking,Super cola + broa,✅,
,21/02/2021,"€20,00","€0,00",G,💰 Checking,G,✅,
,22/02/2021,"€0,00","€10,00",G,💰 Checking,G ao Rui,✅,
,23/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,24/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,25/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,26/02/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,27/02/2021,"€104,56","€901,02",Available to budget,💰 Checking,"Taxa Cartão, 100 DEGIRO, Bolo Rui",✅,
,28/02/2021,"€200,00","€0,00",Crypto,💰 Checking,Binance,✅,
,01/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,02/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,03/03/2021,"€20,66","€0,00",Fun Money,💰 Checking,Prenda Kiki,✅,
,04/03/2021,"€2,65","€0,00",Available to budget,💰 Checking,Bertrand,✅,
,05/03/2021,"€32,01","€0,00",Gasoline,💰 Checking,Gasolina Golf DF,✅,
,06/03/2021,"€27,80","€0,00",Everything Else,💰 Checking,Livro Bitcoin + Prenda Abílio,✅,
,07/03/2021,"€20,00","€0,00",G,💳 Revolut,G,✅,
,08/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,09/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,10/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,11/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,12/03/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,13/03/2021,"€27,00","€0,00",Auto Maintenance,💰 Checking,Ferraz + Cabos Continente,✅,
,14/03/2021,"€0,00","€32,01",Gasoline,💰 Checking,Gasolina de volta,✅,
,15/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,16/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,17/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,18/03/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Vodafone,✅,
,19/03/2021,"€21,50","€0,00",Fun Money,💰 Checking,"CP Porto, Jantar Pizza, Hub OLX",✅,
,20/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,21/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,22/03/2021,"€0,10","€150,00",Available to budget,💰 Checking,Prenda mãe + tios + comissao mbway To,✅,
,23/03/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,24/03/2021,"€20,00","€0,00",G,💰 Checking,G,✅,
,25/03/2021,"€12,00","€0,00",Other,Cash,Corte João,✅,
,26/03/2021,"€219,60","€0,00",Crypto,💰 Checking,Router Helium Nebra,✅,
,27/03/2021,"€8,99","€0,00",Girlfriend,💰 Checking,Kinder Manuela,✅,
,28/03/2021,"€4,00","€0,00",Cell Phone Bill,💰 Checking,Dados extra vodafone 2 packs,✅,
,29/03/2021,"€9,50","€0,00",Cell Phone Bill,💰 Checking,Vodafone,✅,
,30/03/2021,"€0,00","€920,92",Available to budget,💰 Checking,Vencimento,✅,
,31/03/2021,"€230,00","€0,00",Available to budget,💰 Checking,BCP -> Revo,✅,
,31/03/2021,"€0,00","€230,00",Available to budget,💳 Revolut,Binance,✅,
,01/04/2021,"€200,00","€0,00",Crypto,💳 Revolut,Binance,✅,
,02/04/2021,"€11,00","€0,00",Spotify,💰 Checking,Spotify Salty,✅,
,03/04/2021,"€1,04","€0,00",Auto Maintenance,💰 Checking,Imposto Selo,✅,
,04/04/2021,"€10,00","€0,00",Fun Money,💰 Checking,Levantamento 10 paus,✅,
,05/04/2021,"€0,00","€1,15",Fun Money,💰 Checking,Mini Reis - Teles,✅,
,06/04/2021,"€9,50","€0,00",G,💳 Revolut,Tabaco + Talhas,✅,
,07/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,08/04/2021,"€12,50","€0,00",Fun Money,💰 Checking,Prenda Rúben ,✅,
,09/04/2021,"€3,63","€0,00",Girlfriend,💰 Checking,Pilhas + chocolate Manuela ,✅,
,10/04/2021,"€20,00","€0,00",Fun Money,💰 Checking,Aposta Sporting,✅,
,11/04/2021,"€5,00","€0,00",G,💰 Checking,G ao Rui,✅,
,12/04/2021,"€5,40","€0,00",Fun Money,💰 Checking,Cervejas André/Teles,✅,
,13/04/2021,"€0,00","€8,08",Available to budget,💰 Checking,,✅,
,14/04/2021,"€0,00","€50,00",Available to budget,💰 Checking,Aposta Ganha,✅,
,15/04/2021,"€15,00","€0,00",Available to budget,💰 Checking,Aposta Reis,✅,
,16/04/2021,"€150,00","€150,00",↕️ Account Transfer,💰 Checking,Liquidação poupança + Ações,✅,
,17/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,18/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,19/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,20/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,21/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,22/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,23/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,24/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,25/04/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,26/04/2021,"€4,00","€0,00",Other,💰 Checking,Chave de quadros -JoOli,✅,
,27/04/2021,"€6,55","€9,00",Auto Maintenance,💰 Checking,Mantimentos Tábua Pingo DOce,✅,
,28/04/2021,"€28,15","€0,00",Dining Out,💰 Checking,Jantar Mãe - Navegante,✅,
,29/04/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Telemóvel,✅,
,30/04/2021,"€0,00","€910,97",Available to budget,💰 Checking,Vencimento,✅,
,01/05/2021,"€700,00","€0,00",Available to budget,💰 Checking,Poupança + Revo,✅,
,01/05/2021,"€0,00","€700,00",Available to budget,💳 Revolut,Poupança + Revo,✅,
,02/05/2021,"€85,20","€0,00",Fun Money,💰 Checking,"Férias Tábua (AL, Gasosa, Refeição)",✅,
,03/05/2021,"€4,58","€0,00",Fun Money,💰 Checking,Prenda Chica,✅,
,04/05/2021,"€1,04","€0,00",Auto Maintenance,💰 Checking,Manutenção Conta,✅,
,05/05/2021,"€200,00","€0,00",Crypto,💳 Revolut,Cripto,✅,
,06/05/2021,"€20,00","€0,00",Fun Money,💳 Revolut,gasosa (abílio),✅,
,07/05/2021,"€24,00","€0,00",Fun Money,💰 Checking,Gin,✅,
,08/05/2021,"€0,00","€12,00",Fun Money,💳 Revolut,Gin André,✅,
,09/05/2021,"€20,00","€0,00",G,💰 Checking,GTábua,✅,
,10/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,11/05/2021,"€24,80","€0,00",Girlfriend,💰 Checking,Jantar Navegante - Manuela,✅,
,12/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,13/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,14/05/2021,"€3,10","€0,00",Auto Maintenance,💰 Checking,,✅,
,15/05/2021,"€7,50","€0,00",Clothing,💰 Checking,Arranjo costureira,✅,
,16/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,17/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,18/05/2021,"€16,00","€0,00",G,💳 Revolut,G,✅,
,19/05/2021,"€11,65","€0,00",G,💳 Revolut,Tabaco + Talhas,✅,
,20/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,21/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,22/05/2021,"€19,00","€0,00",Clothing,💰 Checking,Decathlon ,✅,
,23/05/2021,"€5,95","€0,00",Fun Money,💰 Checking,Peq Almoço Andre ,✅,
,24/05/2021,"€75,50","€0,00",Clothing,💰 Checking,Camisas Sacoor,✅,
,25/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,26/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,27/05/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Tarifário Yorn,✅,
,28/05/2021,"€21,66","€0,00",Fun Money,💰 Checking,Levantamento pagar jantar (12.5),✅,
,29/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,30/05/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,31/05/2021,"€81,45","€905,99",Available to budget,💰 Checking,Vencimento,✅,
,01/06/2021,"€700,00","€0,00",Available to budget,💰 Checking,Transf BCP -> Revo,✅,
,01/06/2021,"€0,00","€700,00",Available to budget,💰 Checking,250 cripto; 250 poupança; 200 ferias,✅,
,02/06/2021,"€1,04","€0,00",Auto Maintenance,💰 Checking,Manutencao conta,✅,
,03/06/2021,"€2,19","€0,00",Fun Money,💰 Checking,Vinho branco,✅,
,04/06/2021,"€0,82","€0,00",Fun Money,💳 Revolut,Fotos mãe,✅,
,05/06/2021,"€36,50","€0,00",Fun Money,💰 Checking,Prenda Mãe,✅,
,06/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,07/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,08/06/2021,"€12,00","€0,00",Auto Maintenance,💰 Checking,Cabelo,✅,
,09/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,10/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,11/06/2021,"€16,00","€0,00",G,💰 Checking,G,✅,
,12/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,13/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,14/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,15/06/2021,"€14,00","€0,00",Gasoline,💰 Checking,Gasolina ,✅,
,16/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,17/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,18/06/2021,"€1,60","€0,00",Girlfriend,💰 Checking,Chocolate Manuela,✅,
,19/06/2021,"€15,10","€0,00",Fun Money,💰 Checking,Barril + Ria,✅,
,20/06/2021,"€6,60","€0,00",Other,💳 Revolut,Pao + 5 paus para o drogado no continente,✅,
,21/06/2021,"€600,00","€0,00",Crypto,💰 Checking,,✅,
,22/06/2021,"€12,30","€0,00",Cell Phone Bill,💰 Checking,11 telemovel,✅,
,22/06/2021,"€1,30","€0,00",Fun Money,💰 Checking,Café + Nata,✅,
,23/06/2021,"€3,99","€0,00",Prime,💰 Checking,Amazon Prime,✅,
,24/06/2021,"€10,00","€0,00",Fun Money,💰 Checking,Levantar 10 paus,✅,
,25/06/2021,"€19,00","€1,65",Fun Money,💰 Checking,Churrasco - 16; Rui L - 3 (praça),✅,
,26/06/2021,"€5,10","€0,00",Auto Maintenance,💳 Revolut,Pão + desodorizante,✅,
,27/06/2021,"€49,60","€905,99",Available to budget,💰 Checking,Max Kops + DinWallet + Ordenado,✅,
,28/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,29/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,30/06/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,01/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,02/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,03/07/2021,"€13,00","€0,00",Fun Money,💰 Checking,5€ p noite,✅,
,04/07/2021,"€1,04","€0,00",Everything Else,💰 Checking,Imposto de selo + liq ecrans,✅,
,05/07/2021,"€400,00","€0,00",Available to budget,💰 Checking,400 p revo,✅,
,05/07/2021,"€0,00","€400,00",Available to budget,💳 Revolut,400 p revo,✅,
,06/07/2021,"€13,50","€0,00",Cell Phone Bill,💰 Checking,Telemovel + prime,✅,
,07/07/2021,"€106,00","€0,00",Fun Money,💰 Checking,Reserva Airbnb,✅,
,08/07/2021,"€0,00","€0,00",,💰 Checking,,✅,
,09/07/2021,"€9,20","€0,00",Dining Out,💰 Checking,Almoço Asinhas,✅,
,10/07/2021,"€113,98","€0,00",Auto Maintenance,💰 Checking,Calças,✅,
,11/07/2021,"€10,00","€0,00",Fun Money,💰 Checking,Bet - Itália,✅,
,12/07/2021,"€90,00","€0,00",Auto Maintenance,💰 Checking,Eugénio Leite,✅,
,13/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,14/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,15/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,16/07/2021,"€20,00","€0,00",Dining Out,💰 Checking,Levantamento Barril,✅,
,17/07/2021,"€19,25","€0,00",Girlfriend,💰 Checking,Jantar Porto + Paddle + Lanche,✅,
,18/07/2021,"€4,20","€0,00",Auto Maintenance,💰 Checking,Atum + pao de forma,✅,
,19/07/2021,"€8,00","€0,00",Fun Money,💰 Checking,Cordas Guitarra,✅,
,20/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,21/07/2021,"€5,09","€0,00",Fun Money,💰 Checking,,✅,
,22/07/2021,"€46,5","€0,00",Girlfriend,💰 Checking,Regaleira+Pena+Portagens+Teste COVID+Levantamento,✅,
,23/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,24/07/2021,"€5,67","€0,00",Dining Out,💳 Revolut,Churrasco,✅,
,25/07/2021,"€2,80","€0,00",Fun Money,💰 Checking,Café,✅,
,26/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,27/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,28/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,29/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,30/07/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,31/07/2021,"€0,00","€915,94",Available to budget,💰 Checking,Vencimento,✅,
,01/08/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Tarifário Yorn,✅,
,02/08/2021,"€10,00","€0,00",Fun Money,💰 Checking,Levantamento,✅,
,03/08/2021,"€100,00","€0,00",Clothing,💰 Checking,Sapatos Casamento,✅,
,04/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,05/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,06/08/2021,"€4,40","€0,00",G,💳 Revolut,Tabaco,✅,
,07/08/2021,"€12,80","€0,00",Fun Money,💳 Revolut,Finos,✅,
,08/08/2021,"€0,00","€0,00",Fun Money,💳 Revolut,,✅,
,09/08/2021,"€12,00","€0,00",Auto Maintenance,💰 Checking,Cabelo,✅,
,10/08/2021,"€20,00","€0,00",Fun Money,💳 Revolut,Levantamento,✅,
,11/08/2021,"€16,66","€0,00",Auto Maintenance,💳 Revolut,Compras Continente (semana sozinho),✅,
,12/08/2021,"€10,00","€0,00",Fun Money,💰 Checking,Croissants e vida,✅,
,13/08/2021,"€22,20","€0,00",G,💰 Checking,W,✅,
,14/08/2021,"€30,00","€0,00",Fun Money,💰 Checking,Coluna Sony,✅,
,15/08/2021,"€200,00","€0,00",Crypto,💰 Checking,Binance,✅,
,16/08/2021,"€2,20","€0,00",Fun Money,💰 Checking,Finos (Autocarro Bar),✅,
,17/08/2021,"€20,00","€0,00",Girlfriend,💰 Checking,Levantar dinheiro (flores Manuela 5 anos),✅,
,18/08/2021,"€5,00","€0,00",Cell Phone Bill,💰 Checking,Telemovel,✅,
,19/08/2021,"€9,22","€0,00",Auto Maintenance,💰 Checking,Nasomet,✅,
,20/08/2021,"€82,00","€0,00",Crypto,💰 Checking,Nexo,✅,
,21/08/2021,"€85,00","€0,00",Fun Money,💰 Checking,15 cartao FNAC + 70 KOBO,✅,
,22/08/2021,"€19,00","€0,00",Gasoline,💰 Checking,15 gasolina + 4 lavagem,✅,
,23/08/2021,"€100,00","€0,00",Crypto,💰 Checking,Binance,✅,
,24/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,25/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,26/08/2021,"€10,00","€0,00",Fun Money,💰 Checking,Aposta,✅,
,27/08/2021,"€42,19","€0,00",Gasoline,💰 Checking,Gasolina,✅,
,28/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,29/08/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,30/08/2021,"€0,00","€50,00",Clothing,💰 Checking,Sapatilhas,✅,
,31/08/2021,"€22,00","€968,84",Available to budget,💰 Checking,Ordenado + Transf Reis,✅,
,01/09/2021,"€16,26","€0,00",Dining Out,💰 Checking,Jantar kiki,✅,
,02/09/2021,"€14,50","€0,00",Cell Phone Bill,💰 Checking,Telemovel,✅,
,03/09/2021,"€0,00","€28,00",Auto Maintenance,💰 Checking,SAMS Olhos Coimbra,✅,
,04/09/2021,"€10,81","€0,00",Fun Money,💳 Revolut,Jantar Casa Ruca P,✅,
,05/09/2021,"€250,00","€0,00",Crypto,💰 Checking,Cripto,✅,
,06/09/2021,"€8,75","€0,00",Dining Out,💰 Checking,Jantar Coelho & Gutti,✅,
,07/09/2021,"€18,22","€0,00",Fun Money,💰 Checking,Bilhete Stand up Reis,✅,
,08/09/2021,"€10,34","€0,00",Auto Maintenance,💳 Revolut,Pao + fiambre + queijo,✅,
,09/09/2021,"€4,50","€0,00",G,💳 Revolut,Tabaq,✅,
,10/09/2021,"€3,00","€0,00",Fun Money,💰 Checking,Finos Praça,✅,
,11/09/2021,"€7,10","€0,00",Girlfriend,💰 Checking,Bilhetes comboio,✅,
,12/09/2021,"€5,50","€0,00",Fun Money,💳 Revolut,Pastelaria Moura Sto Tirso,✅,
,13/09/2021,"€3,53","€0,00",Fun Money,💰 Checking,Prenda Reis,✅,
,14/09/2021,"€5,00","€0,00",Fun Money,💰 Checking,Aposta,✅,
,15/09/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,16/09/2021,"€13,50","€9,00",Dining Out,💰 Checking,Almoço despedida Reis + Jantar Alicarius Ruis,✅,
,17/09/2021,"€15,80","€0,00",Fun Money,💰 Checking,"5,8 - Alicarius + levantamento 10",✅,
,18/09/2021,"€4,74","€0,00",Auto Maintenance,💰 Checking,Norauto + pão,✅,
,19/09/2021,"€9,50","€0,00",Dining Out,💰 Checking,Alicarius,✅,
,20/09/2021,"€3,30","€0,00",G,💰 Checking,2/3 Tabaq,✅,
,21/09/2021,"€1,35","€0,00",Fun Money,Cash,Café Garagem ,✅,
,22/09/2021,"€4,50","€0,00",Fun Money,💳 Revolut,Finos + 2/3 Tabaq,✅,
,23/09/2021,"€5,75","€0,00",Fun Money,💰 Checking,Prenda Carolina,✅,
,24/09/2021,"€10,00","€0,00",Fun Money,💰 Checking,Levantamento 20 paus (jantar mas sobrou),✅,
,25/09/2021,"€10,59","€0,00",Fun Money,💰 Checking,Capa Kobo FNAC (c/ desconto),✅,
,26/09/2021,"€235,00","€0,00",Crypto,💰 Checking,,✅,
,27/09/2021,"€24,22","€0,00",Gasoline,💳 Revolut,Gasolina,✅,
,28/09/2021,"€40,00","€0,00",Other,💰 Checking,Prenda Marta + Jorge,✅,
,29/09/2021,"€40,00","€0,00",Girlfriend,Revolut,Prenda Manuela,✅,
,30/09/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Vodafone,✅,
,01/10/2021,"€0,40","€915,00",Available to budget,💰 Checking,Vencimento + imposto de selo + reenvio do PIN,✅,
,02/10/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,03/10/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,04/10/2021,"€30,00","€0,00",G,💳 Revolut,G,✅,
,05/10/2021,"€2,35","€0,00",Girlfriend,💰 Checking,Sumo Drinks (Manuela),✅,
,06/10/2021,"€29,95","€0,00",Fun Money,💰 Checking,Vinhos,✅,
,07/10/2021,"€0,00","€0,00",Fun Money,💰 Checking,,✅,
,08/10/2021,"€12,90","€0,00",Fun Money,💰 Checking,Alavarium + Fino,✅,
,09/10/2021,"€85,14","€0,00",Fun Money,💰 Checking,"Lisboa - viagem, uber, almoço, urban, ",✅,
,10/10/2021,"€5,00","€0,00",Prime,💰 Checking,Amazon Prime,✅,
,11/10/2021,"€12,00","€0,00",Auto Maintenance,💰 Checking,Cabeleireiro,✅,
